"IntenSample" "ID" "Sample" "ProcessDate" "AcqType" "ProcessInst" "FileName" "RunDate" "MSUsed" "Operator" "MSMethod"
"364" "59" "59" "JFCF-6/T.1J/12E" "1/2/17" "SWATH" "ProCan 5" " Cell Study_Sample59" "17/1/17" "ProCan 2" "SM" "90 Min IDA_06"
"378" "71" "71" "JFCF-6/T.5K-shATRX-2" "30/1/17" "SWATH" "ProCan 5" " Cell Study_Sample71" "" "" "" ""
"379" "72" "72" "JFCF-6/T.1/F" "30/1/17" "SWATH" "ProCan 5" " Cell Study_Sample72" "" "" "" ""
"380" "73" "73" "JFCF-6/T.1/P-shDAXX" "30/1/17" "SWATH" "ProCan 5" " Cell Study_Sample73" "" "" "" ""
"381" "74" "74" "JFCF-6/T.5K-shDAXX" "30/1/17" "SWATH" "ProCan 5" " Cell Study_Sample74" "" "" "" ""
"382" "75" "75" "JFCF-6/T.1J/6G" "30/1/17" "SWATH" "ProCan 5" " Cell Study_Sample75" "" "" "" ""
"383" "76" "76" "JFCF-6/T.1/P (ALT)" "30/1/17" "SWATH" "ProCan 5" " Cell Study_Sample76" "" "" "" ""
"384" "77" "77" "JFCF-6/T.5K-sc2" "30/1/17" "SWATH" "ProCan 5" " Cell Study_Sample77" "" "" "" ""
"385" "78" "78" "JFCF-6/T.1/P-shATRX-4" "30/1/17" "SWATH" "ProCan 5" " Cell Study_Sample78" "" "" "" ""
"386" "79" "79" "JFCF-6/T.5K-shATRX-3" "30/1/17" "SWATH" "ProCan 5" " Cell Study_Sample79" "" "" "" ""
"387" "8" "8" "IIICF E6E7/C4" "19/1/17" "SWATH" "ProCan 2" " SWATH_Sample_08" "13/12/16" "ProCan 2" "SM" "90 Min IDA_06"
"388" "80" "80" "JFCF-6/T.1J/1.3C" "30/1/17" "SWATH" "ProCan 5" " Cell Study_Sample80" "" "" "" ""
"389" "81" "81" "JFCF-6/T.2H" "31/1/17" "SWATH" "ProCan 5" " Cell Study_Sample81" "" "" "" ""
"390" "82" "82" "JFCF-6/T.1J/1D" "31/1/17" "SWATH" "ProCan 5" " Cell Study_Sample82" "" "" "" ""
"391" "83" "83" "JFCF-6/T.1J/9E" "31/1/17" "SWATH" "ProCan 5" " Cell Study_Sample83" "" "" "" ""
"392" "84" "84" "JFCF-6/T.1/P-shATRX-1" "31/1/17" "SWATH" "ProCan 5" " Cell Study_Sample84" "" "" "" ""
"393" "86" "86" "JFCF-6/T.5K-shATRX-4" "31/1/17" "SWATH" "ProCan 5" " Cell Study_Sample86" "" "" "" ""
"394" "87" "87" "JFCF-6/T.1/P-shATRX-2" "31/1/17" "SWATH" "ProCan 5" " Cell Study_Sample87" "" "" "" ""
"395" "88" "88" "JFCF-6/T.1/P-sc2" "31/1/17" "SWATH" "ProCan 5" " Cell Study_Sample88" "" "" "" ""
"396" "89" "89" "JFCF-6/T.1J/5H" "31/1/17" "SWATH" "ProCan 5" " Cell Study_Sample89" "" "" "" ""
"397" "9" "9" "IIICF-T/B1" "19/1/17" "SWATH" "ProCan 2" " SWATH_Sample_09" "14/12/16" "ProCan 2" "SM" "90 Min IDA_06"
"398" "90" "90" "JFCF-6/T.1J/6B" "31/1/17" "SWATH" "ProCan 5" " Cell Study_Sample90" "" "" "" ""
"399" "91" "91" "JFCF-6/T.1J/4D" "31/1/17" "SWATH" "ProCan 5" " Cell Study_Sample91" "" "" "" ""
"400" "92" "92" "JFCF-6/T.5K-shATRX-1" "31/1/17" "SWATH" "ProCan 5" " Cell Study_Sample92" "" "" "" ""
"401" "93" "93" "JFCF-6/T.1J/4F" "31/1/17" "SWATH" "ProCan 5" " Cell Study_Sample93" "" "" "" ""
"402" "94" "94" "JFCF-6/T.5K-vector" "13/2/17" "SWATH" "ProCan 5" " Cell_Study_Sample_94" "" "" "" ""
"403" "95" "95" "JFCF-6/T.1J/1-4D" "13/2/17" "SWATH" "ProCan 5" " Cell_Study_Sample_95" "" "" "" ""
"404" "96" "96" "JFCF-6/T.1J/1C" "13/2/17" "SWATH" "ProCan 5" " Cell_Study_Sample_96" "" "" "" ""
"405" "97" "97" "GM847DM" "13/2/17" "SWATH" "ProCan 5" " Cell_Study_Sample_97" "" "" "" ""
"406" "98" "98" "IVG-BF/LXSN post" "13/2/17" "SWATH" "ProCan 5" " Cell_Study_Sample_98" "" "" "" ""
