Sample No ,Sample,SWATH Processing Date,Acq_Type,SWATH Processing Instrument,SWATH File Name,SWATH file Location,,IDA run Date,IDA_MS_Filename,Location,MS_used,Operator,MS_Method,Acq_Type,,MS_comments,BS_upload,MS_Column,MS_Col_SN,MS_Trap
86,JFCF-6/T.5K-shATRX-4,31/1/17,SWATH,ProCan 5, Cell Study_Sample86,\\cmri-ProStor1\ProCan Storage - DAS 2\ProCan\Projects\E0013 - Cell Study SWATH\Cell_Study_Data\Complete Dataset,,,,,,,,,,,,,,
87,JFCF-6/T.1/P-shATRX-2,31/1/17,SWATH,ProCan 5, Cell Study_Sample87,\\cmri-ProStor1\ProCan Storage - DAS 2\ProCan\Projects\E0013 - Cell Study SWATH\Cell_Study_Data\Complete Dataset,,,,,,,,,,,,,,
88,JFCF-6/T.1/P-sc2,31/1/17,SWATH,ProCan 5, Cell Study_Sample88,\\cmri-ProStor1\ProCan Storage - DAS 2\ProCan\Projects\E0013 - Cell Study SWATH\Cell_Study_Data\Complete Dataset,,,,,,,,,,,,,,
89,JFCF-6/T.1J/5H,31/1/17,SWATH,ProCan 5, Cell Study_Sample89,\\cmri-ProStor1\ProCan Storage - DAS 2\ProCan\Projects\E0013 - Cell Study SWATH\Cell_Study_Data\Complete Dataset,,,,,,,,,,,,,,
90,JFCF-6/T.1J/6B,31/1/17,SWATH,ProCan 5, Cell Study_Sample90,\\cmri-ProStor1\ProCan Storage - DAS 2\ProCan\Projects\E0013 - Cell Study SWATH\Cell_Study_Data\Complete Dataset,,,,,,,,,,,,,,
91,JFCF-6/T.1J/4D,31/1/17,SWATH,ProCan 5, Cell Study_Sample91,\\cmri-ProStor1\ProCan Storage - DAS 2\ProCan\Projects\E0013 - Cell Study SWATH\Cell_Study_Data\Complete Dataset,,,,,,,,,,,,,,
92,JFCF-6/T.5K-shATRX-1,31/1/17,SWATH,ProCan 5, Cell Study_Sample92,\\cmri-ProStor1\ProCan Storage - DAS 2\ProCan\Projects\E0013 - Cell Study SWATH\Cell_Study_Data\Complete Dataset,,,,,,,,,,,,,,
93,JFCF-6/T.1J/4F,31/1/17,SWATH,ProCan 5, Cell Study_Sample93,\\cmri-ProStor1\ProCan Storage - DAS 2\ProCan\Projects\E0013 - Cell Study SWATH\Cell_Study_Data\Complete Dataset,,,,,,,,,,,,,,
94,JFCF-6/T.5K-vector,13/2/17,SWATH,ProCan 5, Cell_Study_Sample_94,\\cmri-ProStor1\ProCan Storage - DAS 2\ProCan\Projects\E0013 - Cell Study SWATH\Cell_Study_Data\Complete Dataset,,,,,,,,,,,,,,
95,JFCF-6/T.1J/1-4D,13/2/17,SWATH,ProCan 5, Cell_Study_Sample_95,\\cmri-ProStor1\ProCan Storage - DAS 2\ProCan\Projects\E0013 - Cell Study SWATH\Cell_Study_Data\Complete Dataset,,,,,,,,,,,,,,
96,JFCF-6/T.1J/1C,13/2/17,SWATH,ProCan 5, Cell_Study_Sample_96,\\cmri-ProStor1\ProCan Storage - DAS 2\ProCan\Projects\E0013 - Cell Study SWATH\Cell_Study_Data\Complete Dataset,,,,,,,,,,,,,,
97,GM847DM,13/2/17,SWATH,ProCan 5, Cell_Study_Sample_97,\\cmri-ProStor1\ProCan Storage - DAS 2\ProCan\Projects\E0013 - Cell Study SWATH\Cell_Study_Data\Complete Dataset,,,,,,,,,,,,,,
98,IVG-BF/LXSN post,13/2/17,SWATH,ProCan 5, Cell_Study_Sample_98,\\cmri-ProStor1\ProCan Storage - DAS 2\ProCan\Projects\E0013 - Cell Study SWATH\Cell_Study_Data\Complete Dataset,,,,,,,,,,,,,,
99,G292,13/2/17,SWATH,ProCan 5, Cell_Study_Sample_99,\\cmri-ProStor1\ProCan Storage - DAS 2\ProCan\Projects\E0013 - Cell Study SWATH\Cell_Study_Data\Complete Dataset,,,,,,,,,,,,,,
100,SK-LU-1,13/2/17,SWATH,ProCan 5, Cell_Study_Sample_100,\\cmri-ProStor1\ProCan Storage - DAS 2\ProCan\Projects\E0013 - Cell Study SWATH\Cell_Study_Data\Complete Dataset,,,,,,,,,,,,,,
101,IIICF E6E7/C4,13/2/17,SWATH,ProCan 5, Cell_Study_Sample_101,\\cmri-ProStor1\ProCan Storage - DAS 2\ProCan\Projects\E0013 - Cell Study SWATH\Cell_Study_Data\Complete Dataset,,,,,,,,,,,,,,
102,IIICF-T/B1,13/2/17,SWATH,ProCan 5, Cell_Study_Sample_102,\\cmri-ProStor1\ProCan Storage - DAS 2\ProCan\Projects\E0013 - Cell Study SWATH\Cell_Study_Data\Complete Dataset,,,,,,,,,,,,,,
103,JFCF-6/T.5K-sc1,13/2/17,SWATH,ProCan 5, Cell_Study_Sample_103,\\cmri-ProStor1\ProCan Storage - DAS 2\ProCan\Projects\E0013 - Cell Study SWATH\Cell_Study_Data\Complete Dataset,,,,,,,,,,,,,,
104,JFCF-6/T.1/R,13/2/17,SWATH,ProCan 5, Cell_Study_Sample_104,\\cmri-ProStor1\ProCan Storage - DAS 2\ProCan\Projects\E0013 - Cell Study SWATH\Cell_Study_Data\Complete Dataset,,,,,,,,,,,,,,
105,IIICF/c,13/2/17,SWATH,ProCan 5, Cell_Study_Sample_105,\\cmri-ProStor1\ProCan Storage - DAS 2\ProCan\Projects\E0013 - Cell Study SWATH\Cell_Study_Data\Complete Dataset,,,,,,,,,,,,,,
106,JFCF-6/T.5K,13/2/17,SWATH,ProCan 5, Cell_Study_Sample_106,\\cmri-ProStor1\ProCan Storage - DAS 2\ProCan\Projects\E0013 - Cell Study SWATH\Cell_Study_Data\Complete Dataset,,,,,,,,,,,,,,
107,JFCF-6/T.1J/11E,13/2/17,SWATH,ProCan 5, Cell_Study_Sample_107,\\cmri-ProStor1\ProCan Storage - DAS 2\ProCan\Projects\E0013 - Cell Study SWATH\Cell_Study_Data\Complete Dataset,,,,,,,,,,,,,,
108,SAOS-2,13/2/17,SWATH,ProCan 5, Cell_Study_Sample_108,\\cmri-ProStor1\ProCan Storage - DAS 2\ProCan\Projects\E0013 - Cell Study SWATH\Cell_Study_Data\Complete Dataset,,,,,,,,,,,,,,
109,MeT-4A,13/2/17,SWATH,ProCan 5, Cell_Study_Sample_109,\\cmri-ProStor1\ProCan Storage - DAS 2\ProCan\Projects\E0013 - Cell Study SWATH\Cell_Study_Data\Complete Dataset,,,,,,,,,,,,,,
110,IIICF/a2,14/2/17,SWATH,ProCan 5, Cell_Study_Sample_110,\\cmri-ProStor1\ProCan Storage - DAS 2\ProCan\Projects\E0013 - Cell Study SWATH\Cell_Study_Data\Complete Dataset,,,,,,,,,,,,,,
111,IIICF-T/B3,14/2/17,SWATH,ProCan 5, Cell_Study_Sample_111,\\cmri-ProStor1\ProCan Storage - DAS 2\ProCan\Projects\E0013 - Cell Study SWATH\Cell_Study_Data\Complete Dataset,,,,,,,,,,,,,,
112,JFCF-6/T.1/C,14/2/17,SWATH,ProCan 5, Cell_Study_Sample_112,\\cmri-ProStor1\ProCan Storage - DAS 2\ProCan\Projects\E0013 - Cell Study SWATH\Cell_Study_Data\Complete Dataset,,,,,,,,,,,,,,
113,JFCF-6/T.1/D,14/2/17,SWATH,ProCan 5, Cell_Study_Sample_113,\\cmri-ProStor1\ProCan Storage - DAS 2\ProCan\Projects\E0013 - Cell Study SWATH\Cell_Study_Data\Complete Dataset,,,,,,,,,,,,,,
114,JFCF-6/T.1/G,14/2/17,SWATH,ProCan 5, Cell_Study_Sample_114,\\cmri-ProStor1\ProCan Storage - DAS 2\ProCan\Projects\E0013 - Cell Study SWATH\Cell_Study_Data\Complete Dataset,,,,,,,,,,,,,,
115,JFCF-6/T.1/H,14/2/17,SWATH,ProCan 5, Cell_Study_Sample_115,\\cmri-ProStor1\ProCan Storage - DAS 2\ProCan\Projects\E0013 - Cell Study SWATH\Cell_Study_Data\Complete Dataset,,,,,,,,,,,,,,
116,JFCF-6/T.1/L,14/2/17,SWATH,ProCan 5, Cell_Study_Sample_116,\\cmri-ProStor1\ProCan Storage - DAS 2\ProCan\Projects\E0013 - Cell Study SWATH\Cell_Study_Data\Complete Dataset,,,,,,,,,,,,,,
117,JFCF-6/T.1/M,14/2/17,SWATH,ProCan 5, Cell_Study_Sample_117,\\cmri-ProStor1\ProCan Storage - DAS 2\ProCan\Projects\E0013 - Cell Study SWATH\Cell_Study_Data\Complete Dataset,,,,,,,,,,,,,,
118,JFCF-6/T.1/P,14/2/17,SWATH,ProCan 5, Cell_Study_Sample_118,\\cmri-ProStor1\ProCan Storage - DAS 2\ProCan\Projects\E0013 - Cell Study SWATH\Cell_Study_Data\Complete Dataset,,,,,,,,,,,,,,
119,JFCF-6/T.1/P-EV,14/2/17,SWATH,ProCan 5, Cell_Study_Sample_119,\\cmri-ProStor1\ProCan Storage - DAS 2\ProCan\Projects\E0013 - Cell Study SWATH\Cell_Study_Data\Complete Dataset,,,,,,,,,,,,,,
120,JFCF-6/T.1/Q,14/2/17,SWATH,ProCan 5, Cell_Study_Sample_120,\\cmri-ProStor1\ProCan Storage - DAS 2\ProCan\Projects\E0013 - Cell Study SWATH\Cell_Study_Data\Complete Dataset,,,,,,,,,,,,,,
121,JFCF-6/T.1J/11C,14/2/17,SWATH,ProCan 5, Cell_Study_Sample_121,\\cmri-ProStor1\ProCan Storage - DAS 2\ProCan\Projects\E0013 - Cell Study SWATH\Cell_Study_Data\Complete Dataset,,,,,,,,,,,,,,
122,JFCF-6/T.5K-shATRX-2,14/2/17,SWATH,ProCan 5, Cell_Study_Sample_122,\\cmri-ProStor1\ProCan Storage - DAS 2\ProCan\Projects\E0013 - Cell Study SWATH\Cell_Study_Data\Complete Dataset,,,,,,,,,,,,,,
123,JFCF-6/T.1/F,14/2/17,SWATH,ProCan 5, Cell_Study_Sample_123,\\cmri-ProStor1\ProCan Storage - DAS 2\ProCan\Projects\E0013 - Cell Study SWATH\Cell_Study_Data\Complete Dataset,,,,,,,,,,,,,,
124,JFCF-6/T.1/P-shDAXX,15/2/17,SWATH,ProCan 5, Cell_study_Sample_124,\\cmri-ProStor1\ProCan Storage - DAS 2\ProCan\Projects\E0013 - Cell Study SWATH\Cell_Study_Data\Complete Dataset,,,,,,,,,,,,,,
125,JFCF-6/T.5K-shDAXX,15/2/17,SWATH,ProCan 5, Cell_study_Sample_125,\\cmri-ProStor1\ProCan Storage - DAS 2\ProCan\Projects\E0013 - Cell Study SWATH\Cell_Study_Data\Complete Dataset,,,,,,,,,,,,,,
126,JFCF-6/T.1J/6G,15/2/17,SWATH,ProCan 5, Cell_study_Sample_126,\\cmri-ProStor1\ProCan Storage - DAS 2\ProCan\Projects\E0013 - Cell Study SWATH\Cell_Study_Data\Complete Dataset,,,,,,,,,,,,,,
127,JFCF-6/T.1/P (ALT),15/2/17,SWATH,ProCan 5, Cell_study_Sample_127,\\cmri-ProStor1\ProCan Storage - DAS 2\ProCan\Projects\E0013 - Cell Study SWATH\Cell_Study_Data\Complete Dataset,,,,,,,,,,,,,,
128,JFCF-6/T.5K-sc2,15/2/17,SWATH,ProCan 5, Cell_study_Sample_128,\\cmri-ProStor1\ProCan Storage - DAS 2\ProCan\Projects\E0013 - Cell Study SWATH\Cell_Study_Data\Complete Dataset,,,,,,,,,,,,,,
129,JFCF-6/T.1/P-shATRX-4,15/2/17,SWATH,ProCan 5, Cell_study_Sample_129,\\cmri-ProStor1\ProCan Storage - DAS 2\ProCan\Projects\E0013 - Cell Study SWATH\Cell_Study_Data\Complete Dataset,,,,,,,,,,,,,,
130,JFCF-6/T.5K-shATRX-3,15/2/17,SWATH,ProCan 5, Cell_study_Sample_130,\\cmri-ProStor1\ProCan Storage - DAS 2\ProCan\Projects\E0013 - Cell Study SWATH\Cell_Study_Data\Complete Dataset,,,,,,,,,,,,,,
131,JFCF-6/T.1J/1.3C,15/2/17,SWATH,ProCan 5, Cell_study_Sample_131,\\cmri-ProStor1\ProCan Storage - DAS 2\ProCan\Projects\E0013 - Cell Study SWATH\Cell_Study_Data\Complete Dataset,,,,,,,,,,,,,,
132,JFCF-6/T.2H,15/2/17,SWATH,ProCan 5, Cell_study_Sample_132,\\cmri-ProStor1\ProCan Storage - DAS 2\ProCan\Projects\E0013 - Cell Study SWATH\Cell_Study_Data\Complete Dataset,,,,,,,,,,,,,,
133,JFCF-6/T.1J/1D,15/2/17,SWATH,ProCan 5, Cell_study_Sample_133,\\cmri-ProStor1\ProCan Storage - DAS 2\ProCan\Projects\E0013 - Cell Study SWATH\Cell_Study_Data\Complete Dataset,,20/2/17,,,ProCan 5,,,,,,,,,
134,JFCF-6/T.1J/9E,15/2/17,SWATH,ProCan 5, Cell_study_Sample_134,\\cmri-ProStor1\ProCan Storage - DAS 2\ProCan\Projects\E0013 - Cell Study SWATH\Cell_Study_Data\Complete Dataset,,20/2/17,,,ProCan 5,,,,,,,,,
135,JFCF-6/T.1/P-shATRX-1,15/2/17,SWATH,ProCan 5, Cell_study_Sample_135,\\cmri-ProStor1\ProCan Storage - DAS 2\ProCan\Projects\E0013 - Cell Study SWATH\Cell_Study_Data\Complete Dataset,,20/2/17,,,ProCan 5,,,,,,,,,
136,JFCF-6/T.1/P-shATRX-3,15/2/17,SWATH,ProCan 5, Cell_study_Sample_136,\\cmri-ProStor1\ProCan Storage - DAS 2\ProCan\Projects\E0013 - Cell Study SWATH\Cell_Study_Data\Complete Dataset,,20/2/17,,,ProCan 5,,,,,,,,,
137,JFCF-6/T.5K-shATRX-4,15/2/17,SWATH,ProCan 5, Cell_study_Sample_137,\\cmri-ProStor1\ProCan Storage - DAS 2\ProCan\Projects\E0013 - Cell Study SWATH\Cell_Study_Data\Complete Dataset,,20/2/17,,,ProCan 5,,,,,,,,,
138,JFCF-6/T.1/P-shATRX-2,15/2/17,SWATH,ProCan 5, Cell_study_Sample_138,\\cmri-ProStor1\ProCan Storage - DAS 2\ProCan\Projects\E0013 - Cell Study SWATH\Cell_Study_Data\Complete Dataset,,20/2/17,,,ProCan 5,,,,,,,,,
139,JFCF-6/T.1/P-sc2,15/2/17,SWATH,ProCan 5, Cell_study_Sample_139,\\cmri-ProStor1\ProCan Storage - DAS 2\ProCan\Projects\E0013 - Cell Study SWATH\Cell_Study_Data\Complete Dataset,,20/2/17,,,ProCan 5,,,,,,,,,
140,JFCF-6/T.1J/5H,15/2/17,SWATH,ProCan 5, Cell_study_Sample_140,\\cmri-ProStor1\ProCan Storage - DAS 2\ProCan\Projects\E0013 - Cell Study SWATH\Cell_Study_Data\Complete Dataset,,20/2/17,,,ProCan 5,,,,,,,,,
141,JFCF-6/T.1J/6B,15/2/17,SWATH,ProCan 5, Cell_study_Sample_141,\\cmri-ProStor1\ProCan Storage - DAS 2\ProCan\Projects\E0013 - Cell Study SWATH\Cell_Study_Data\Complete Dataset,,20/2/17,,,ProCan 5,,,,,,,,,
142,JFCF-6/T.1J/4D,15/2/17,SWATH,ProCan 5, Cell_study_Sample_142,\\cmri-ProStor1\ProCan Storage - DAS 2\ProCan\Projects\E0013 - Cell Study SWATH\Cell_Study_Data\Complete Dataset,,20/2/17,,,ProCan 5,,,,,,,,,
143,JFCF-6/T.5K-shATRX-1,15/2/17,SWATH,ProCan 5, Cell_study_Sample_143,\\cmri-ProStor1\ProCan Storage - DAS 2\ProCan\Projects\E0013 - Cell Study SWATH\Cell_Study_Data\Complete Dataset,,20/2/17,,,ProCan 5,,,,,,,,,
144,JFCF-6/T.1J/4F,15/2/17,SWATH,ProCan 5, Cell_study_Sample_144,\\cmri-ProStor1\ProCan Storage - DAS 2\ProCan\Projects\E0013 - Cell Study SWATH\Cell_Study_Data\Complete Dataset,,20/2/17,,,ProCan 5,,,,,,,,,
145,JFCF-6/T.5K-vector,15/2/17,SWATH,ProCan 5, Cell_study_Sample_145,\\cmri-ProStor1\ProCan Storage - DAS 2\ProCan\Projects\E0013 - Cell Study SWATH\Cell_Study_Data\Complete Dataset,,,,,,,,,,,,,,
146,JFCF-6/T.1J/1-4D,15/2/17,SWATH,ProCan 5, Cell_study_Sample_146,\\cmri-ProStor1\ProCan Storage - DAS 2\ProCan\Projects\E0013 - Cell Study SWATH\Cell_Study_Data\Complete Dataset,,,,,,,,,,,,,,
147,JFCF-6/T.1J/1C,15/2/17,SWATH,ProCan 5, Cell_study_Sample_147,\\cmri-ProStor1\ProCan Storage - DAS 2\ProCan\Projects\E0013 - Cell Study SWATH\Cell_Study_Data\Complete Dataset,,,,,,,,,,,,,,
148,GM847DM,17/2/17,SWATH,ProCan 5, Cell_Study_Sample_148,\\cmri-ProStor1\ProCan Storage - DAS 2\ProCan\Projects\E0013 - Cell Study SWATH\Cell_Study_Data\Complete Dataset,,,,,,,,,,,,,,
149,IVG-BF/LXSN post,17/2/17,SWATH,ProCan 5, Cell_Study_Sample_149,\\cmri-ProStor1\ProCan Storage - DAS 2\ProCan\Projects\E0013 - Cell Study SWATH\Cell_Study_Data\Complete Dataset,,,,,,,,,,,,,,
150,G292,17/2/17,SWATH,ProCan 5, Cell_Study_Sample_150,\\cmri-ProStor1\ProCan Storage - DAS 2\ProCan\Projects\E0013 - Cell Study SWATH\Cell_Study_Data\Complete Dataset,,,,,,,,,,,,,,
151,SK-LU-1,17/2/17,SWATH,ProCan 5, Cell_Study_Sample_151,\\cmri-ProStor1\ProCan Storage - DAS 2\ProCan\Projects\E0013 - Cell Study SWATH\Cell_Study_Data\Complete Dataset,,,,,,,,,,,,,,
152,IIICF E6E7/C4,17/2/17,SWATH,ProCan 5, Cell_Study_Sample_152,\\cmri-ProStor1\ProCan Storage - DAS 2\ProCan\Projects\E0013 - Cell Study SWATH\Cell_Study_Data\Complete Dataset,,,,,,,,,,,,,,
153,IIICF-T/B1,17/2/17,SWATH,ProCan 5, Cell_Study_Sample_153,\\cmri-ProStor1\ProCan Storage - DAS 2\ProCan\Projects\E0013 - Cell Study SWATH\Cell_Study_Data\Complete Dataset,,,,,,,,,,,,,,
154,JFCF-6/T.5K-sc1,17/2/17,SWATH,ProCan 5, Cell_Study_Sample_154,\\cmri-ProStor1\ProCan Storage - DAS 2\ProCan\Projects\E0013 - Cell Study SWATH\Cell_Study_Data\Complete Dataset,,,,,,,,,,,,,,
155,JFCF-6/T.1/R,17/2/17,SWATH,ProCan 5, Cell_Study_Sample_155,\\cmri-ProStor1\ProCan Storage - DAS 2\ProCan\Projects\E0013 - Cell Study SWATH\Cell_Study_Data\Complete Dataset,,,,,,,,,,,,,,
156,WI-38 VA13/2RA,17/2/17,SWATH,ProCan 5, Cell_Study_Sample_156,\\cmri-ProStor1\ProCan Storage - DAS 2\ProCan\Projects\E0013 - Cell Study SWATH\Cell_Study_Data\Complete Dataset,,,,,,,,,,,,,,
157,LFS-05F-24 post,17/2/17,SWATH,ProCan 5, Cell_Study_Sample_157,\\cmri-ProStor1\ProCan Storage - DAS 2\ProCan\Projects\E0013 - Cell Study SWATH\Cell_Study_Data\Complete Dataset,,,,,,,,,,,,,,
158,IIICF/c,17/2/17,SWATH,ProCan 5, Cell_Study_Sample_158,\\cmri-ProStor1\ProCan Storage - DAS 2\ProCan\Projects\E0013 - Cell Study SWATH\Cell_Study_Data\Complete Dataset,,,,,,,,,,,,,,
159,JFCF-6/T.5K,17/2/17,SWATH,ProCan 5, Cell_Study_Sample_159,\\cmri-ProStor1\ProCan Storage - DAS 2\ProCan\Projects\E0013 - Cell Study SWATH\Cell_Study_Data\Complete Dataset,,,,,,,,,,,,,,
160,IIICF-T/A6,17/2/17,SWATH,ProCan 5, Cell_Study_Sample_160,\\cmri-ProStor1\ProCan Storage - DAS 2\ProCan\Projects\E0013 - Cell Study SWATH\Cell_Study_Data\Complete Dataset,,,,,,,,,,,,,,
161,JFCF-6/T.1J/12E,17/2/17,SWATH,ProCan 5, Cell_Study_Sample_161,\\cmri-ProStor1\ProCan Storage - DAS 2\ProCan\Projects\E0013 - Cell Study SWATH\Cell_Study_Data\Complete Dataset,,,,,,,,,,,,,,
162,JFCF-6/T.1J/11E,17/2/17,SWATH,ProCan 5, Cell_Study_Sample_162,\\cmri-ProStor1\ProCan Storage - DAS 2\ProCan\Projects\E0013 - Cell Study SWATH\Cell_Study_Data\Complete Dataset,,,,,,,,,,,,,,
163,SAOS-2,17/2/17,SWATH,ProCan 5, Cell_Study_Sample_163,\\cmri-ProStor1\ProCan Storage - DAS 2\ProCan\Projects\E0013 - Cell Study SWATH\Cell_Study_Data\Complete Dataset,,,,,,,,,,,,,,
164,MeT-4A,17/2/17,SWATH,ProCan 5, Cell_Study_Sample_164,\\cmri-ProStor1\ProCan Storage - DAS 2\ProCan\Projects\E0013 - Cell Study SWATH\Cell_Study_Data\Complete Dataset,,,,,,,,,,,,,,
165,IIICF/a2,17/2/17,SWATH,ProCan 5, Cell_Study_Sample_165,\\cmri-ProStor1\ProCan Storage - DAS 2\ProCan\Projects\E0013 - Cell Study SWATH\Cell_Study_Data\Complete Dataset,,,,,,,,,,,,,,
166,IIICF-T/B3,17/2/17,SWATH,ProCan 5, Cell_Study_Sample_166,\\cmri-ProStor1\ProCan Storage - DAS 2\ProCan\Projects\E0013 - Cell Study SWATH\Cell_Study_Data\Complete Dataset,,,,,,,,,,,,,,
167,JFCF-6/T.1/C,17/2/17,SWATH,ProCan 5, Cell_Study_Sample_167,\\cmri-ProStor1\ProCan Storage - DAS 2\ProCan\Projects\E0013 - Cell Study SWATH\Cell_Study_Data\Complete Dataset,,,,,,,,,,,,,,
168,JFCF-6/T.1/D,17/2/17,SWATH,ProCan 5, Cell_Study_Sample_168,\\cmri-ProStor1\ProCan Storage - DAS 2\ProCan\Projects\E0013 - Cell Study SWATH\Cell_Study_Data\Complete Dataset,,21/2/17,,,ProCan 5,,,,,,,,,
169,JFCF-6/T.1/G,17/2/17,SWATH,ProCan 5, Cell_Study_Sample_169,\\cmri-ProStor1\ProCan Storage - DAS 2\ProCan\Projects\E0013 - Cell Study SWATH\Cell_Study_Data\Complete Dataset,,21/2/17,,,ProCan 5,,,,,,,,,
170,JFCF-6/T.1/H,22/2/17,SWATH,ProCan 5, Cell_Study_Sample_170,\\cmri-ProStor1\ProCan Storage - DAS 2\ProCan\Projects\E0013 - Cell Study SWATH\Cell_Study_Data\Complete Dataset,,21/2/17,,,ProCan 5,,,,,,,,,
171,JFCF-6/T.1/L,22/2/17,SWATH,ProCan 5, Cell_Study_Sample_171,\\cmri-ProStor1\ProCan Storage - DAS 2\ProCan\Projects\E0013 - Cell Study SWATH\Cell_Study_Data\Complete Dataset,,21/2/17,,,ProCan 5,,,,,,,,,
172,JFCF-6/T.1/M,22/2/17,SWATH,ProCan 5, Cell_Study_Sample_172,\\cmri-ProStor1\ProCan Storage - DAS 2\ProCan\Projects\E0013 - Cell Study SWATH\Cell_Study_Data\Complete Dataset,,21/2/17,,,ProCan 5,,,,,,,,,
173,JFCF-6/T.1/P,22/2/17,SWATH,ProCan 5, Cell_Study_Sample_173,\\cmri-ProStor1\ProCan Storage - DAS 2\ProCan\Projects\E0013 - Cell Study SWATH\Cell_Study_Data\Complete Dataset,,21/2/17,,,ProCan 5,,,,,,,,,
174,JFCF-6/T.1/P-EV,22/2/17,SWATH,ProCan 5, Cell_Study_Sample_174,\\cmri-ProStor1\ProCan Storage - DAS 2\ProCan\Projects\E0013 - Cell Study SWATH\Cell_Study_Data\Complete Dataset,,21/2/17,,,ProCan 5,,,,,,,,,
175,JFCF-6/T.1/Q,22/2/17,SWATH,ProCan 5, Cell_Study_Sample_175,\\cmri-ProStor1\ProCan Storage - DAS 2\ProCan\Projects\E0013 - Cell Study SWATH\Cell_Study_Data\Complete Dataset,,21/2/17,,,ProCan 5,,,,,,,,,
176,JFCF-6/T.1J/11C,22/2/17,SWATH,ProCan 5, Cell_Study_Sample_176,\\cmri-ProStor1\ProCan Storage - DAS 2\ProCan\Projects\E0013 - Cell Study SWATH\Cell_Study_Data\Complete Dataset,,,,,,,,,,,,,,
177,CHLA 291,22/2/17,SWATH,ProCan 5, Cell_Study_Sample_177,\\cmri-ProStor1\ProCan Storage - DAS 2\ProCan\Projects\E0013 - Cell Study SWATH\Cell_Study_Data\Complete Dataset,,,,,,,,,,,,,,
178,CHLA 90,22/2/17,SWATH,ProCan 5, Cell_Study_Sample_178,\\cmri-ProStor1\ProCan Storage - DAS 2\ProCan\Projects\E0013 - Cell Study SWATH\Cell_Study_Data\Complete Dataset,,,,,,,,,,,,,,
179,SK-N-FI,22/2/17,SWATH,ProCan 5, Cell_Study_Sample_179,\\cmri-ProStor1\ProCan Storage - DAS 2\ProCan\Projects\E0013 - Cell Study SWATH\Cell_Study_Data\Complete Dataset,,,,,,,,,,,,,,
180,LAN-6,22/2/17,SWATH,ProCan 5, Cell_Study_Sample_180,\\cmri-ProStor1\ProCan Storage - DAS 2\ProCan\Projects\E0013 - Cell Study SWATH\Cell_Study_Data\Complete Dataset,,,,,,,,,,,,,,
181,SK-N-BE2c,22/2/17,SWATH,ProCan 5, Cell_Study_Sample_181,\\cmri-ProStor1\ProCan Storage - DAS 2\ProCan\Projects\E0013 - Cell Study SWATH\Cell_Study_Data\Complete Dataset,,,,,,,,,,,,,,
182,SH-SY5Y,22/2/17,SWATH,ProCan 5, Cell_Study_Sample_182,\\cmri-ProStor1\ProCan Storage - DAS 2\ProCan\Projects\E0013 - Cell Study SWATH\Cell_Study_Data\Complete Dataset,,,,,,,,,,,,,,
183,LOX IMVI            ,22/2/17,SWATH,ProCan 5, Cell_Study_Sample_183,\\cmri-ProStor1\ProCan Storage - DAS 2\ProCan\Projects\E0013 - Cell Study SWATH\Cell_Study_Data\Complete Dataset,,,,,,,,,,,,,,
184,LOX SMC5A      ,23/2/17,SWATH,ProCan 5, Cell_Study_SWATH_Sample 184,\\cmri-ProStor1\ProCan Storage - DAS 2\ProCan\Projects\E0013 - Cell Study SWATH\Cell_Study_Data\Complete Dataset,,,,,,,,,,,,,,
185,LOX SMC5B        ,23/2/17,SWATH,ProCan 5, Cell_Study_SWATH_Sample 185,\\cmri-ProStor1\ProCan Storage - DAS 2\ProCan\Projects\E0013 - Cell Study SWATH\Cell_Study_Data\Complete Dataset,,,,,,,,,,,,,,
186,LOX TR6A3          ,23/2/17,SWATH,ProCan 5, Cell_Study_SWATH_Sample 186,\\cmri-ProStor1\ProCan Storage - DAS 2\ProCan\Projects\E0013 - Cell Study SWATH\Cell_Study_Data\Complete Dataset,,,,,,,,,,,,,,
187,LOX TR7C1         ,23/2/17,SWATH,ProCan 5, Cell_Study_SWATH_Sample 187,\\cmri-ProStor1\ProCan Storage - DAS 2\ProCan\Projects\E0013 - Cell Study SWATH\Cell_Study_Data\Complete Dataset,,,,,,,,,,,,,,
188,CHLA 291,23/2/17,SWATH,ProCan 5, Cell_Study_SWATH_Sample 188,\\cmri-ProStor1\ProCan Storage - DAS 2\ProCan\Projects\E0013 - Cell Study SWATH\Cell_Study_Data\Complete Dataset,,,,,,,,,,,,,,
189,CHLA 90,23/2/17,SWATH,ProCan 5, Cell_Study_SWATH_Sample 189,\\cmri-ProStor1\ProCan Storage - DAS 2\ProCan\Projects\E0013 - Cell Study SWATH\Cell_Study_Data\Complete Dataset,,,,,,,,,,,,,,
190,SK-N-FI,23/2/17,SWATH,ProCan 5, Cell_Study_SWATH_Sample 190,\\cmri-ProStor1\ProCan Storage - DAS 2\ProCan\Projects\E0013 - Cell Study SWATH\Cell_Study_Data\Complete Dataset,,,,,,,,,,,,,,
191,LAN-6,23/2/17,SWATH,ProCan 5, Cell_Study_SWATH_Sample 191,\\cmri-ProStor1\ProCan Storage - DAS 2\ProCan\Projects\E0013 - Cell Study SWATH\Cell_Study_Data\Complete Dataset,,,,,,,,,,,,,,
